country,year,iso_code,population,electricity_generation,electricity_demand,solar_electricity,wind_electricity,hydro_electricity,fossil_electricity,solar_share_elec,wind_share_elec,hydro_share_elec,fossil_share_elec,renewables_share_elec,carbon_intensity_elec
Brazil,2010,BRA,193701931.0,515.7999877929688,550.4500122070312,0.0,2.180000066757202,403.2900085449219,63.869998931884766,0.0,0.4226444661617279,78.18728637695312,12.38270664215088,84.80225372314453,114.1500015258789
Brazil,2011,BRA,195284736.0,531.760009765625,567.6500244140625,0.0,2.700000047683716,428.3299865722656,52.43999862670898,0.0,0.5077478289604187,80.54949188232422,9.861591339111328,87.19346618652344,99.76000213623048
Brazil,2012,BRA,196876113.0,552.5,592.760009765625,0.0,5.050000190734863,415.3399963378906,80.30000305175781,0.0,0.9140271544456482,75.1746597290039,14.533937454223633,82.56289672851562,128.33999633789062
Brazil,2013,BRA,198478290.0,570.8300170898438,611.1599731445312,0.0,6.579999923706055,390.989990234375,116.83999633789062,0.0,1.1527074575424194,68.4949951171875,20.46843910217285,76.8249740600586,167.83999633789062
Brazil,2014,BRA,200085126.0,590.5499877929688,624.3300170898438,0.0199999995529651,12.210000038146973,373.4400024414063,142.4199981689453,0.0033866735175251,2.0675642490386963,63.23596954345703,24.116500854492188,73.27914428710938,192.94000244140625
Brazil,2015,BRA,201675534.0,581.219970703125,615.6400146484375,0.0599999986588954,21.6299991607666,359.739990234375,135.17999267578125,0.0103231137618422,3.721482515335083,61.89394760131836,23.25797462463379,74.20770263671875,188.63999938964844
Brazil,2016,BRA,203218108.0,578.8900146484375,619.6799926757812,0.0900000035762786,33.4900016784668,380.9100036621094,97.20999908447266,0.0155469952151179,5.785209655761719,65.80006408691406,16.792482376098633,80.46778869628906,149.64999389648438
Brazil,2017,BRA,204703440.0,589.3200073242188,625.6699829101562,0.8299999833106995,42.369998931884766,370.9100036621094,106.55999755859376,0.1408402919769287,7.189641952514648,62.93864059448242,18.08185577392578,79.24726867675781,155.8800048828125
Brazil,2018,BRA,206107265.0,601.3900146484375,636.3699951171875,3.4600000381469727,48.47999954223633,388.9700012207031,90.43000030517578,0.5753337740898132,8.061324119567871,64.6784896850586,15.03683090209961,82.35753631591797,136.9499969482422
Brazil,2019,BRA,207455459.0,633.3300170898438,658.2899780273438,6.650000095367432,55.9900016784668,397.8800048828125,101.76000213623048,1.050005555152893,8.84057331085205,62.823486328125,16.067453384399414,81.38568878173828,141.92999267578125
Brazil,2020,BRA,208660845.0,628.760009765625,653.47998046875,10.75,57.04999923706055,396.3800048828125,91.79000091552734,1.7097142934799194,9.073413848876951,63.041542053222656,14.5985746383667,83.16686248779297,133.36000061035156
Brazil,2021,BRA,209550291.0,656.4000244140625,679.5,16.75,72.29000091552734,362.8200073242188,133.8300018310547,2.55179762840271,11.013101577758787,55.27422332763672,20.38848304748535,77.37202453613281,168.07000732421875
Brazil,2022,BRA,210306411.0,677.1599731445312,690.0700073242188,30.1299991607666,81.62999725341797,427.1099853515625,68.70999908447266,4.449465274810791,12.054758071899414,63.0737190246582,10.14678955078125,87.70305633544922,103.38999938964844
Brazil,2023,BRA,211140731.0,708.1199951171875,723.22998046875,50.630001068115234,95.8000030517578,426.0,63.43000030517578,7.149918079376221,13.528780937194824,60.15929412841797,8.957521438598633,88.99480438232422,96.26000213623048
Brazil,2024,BRA,211998565.0,745.719970703125,757.3099975585938,71.31999969482422,108.48999786376952,413.2099914550781,78.68000030517578,9.56391143798828,14.54835605621338,55.4108772277832,10.550877571105955,87.33305358886719,106.05999755859376
China,2010,CHN,1351561505.0,4207.16015625,4193.64990234375,0.699999988079071,49.400001525878906,711.3800048828125,3346.0400390625,0.0166383013129234,1.1741887331008911,16.90879249572754,79.53203582763672,18.691469192504883,740.75
China,2011,CHN,1360250658.0,4713.02001953125,4700.27978515625,2.609999895095825,74.0999984741211,688.0399780273438,3833.43994140625,0.0553785003721714,1.5722402334213257,14.59870719909668,81.33722686767578,16.81257438659668,752.3599853515625
China,2012,CHN,1369520866.0,4987.5400390625,4976.759765625,3.5899999141693115,103.0500030517578,862.7899780273438,3889.659912109375,0.0719793736934661,2.0661489963531494,17.298908233642578,77.98754119873047,20.04114151000977,720.280029296875
China,2013,CHN,1379008040.0,5431.6298828125,5420.39990234375,8.369999885559082,138.25999450683594,909.6099853515624,4226.759765625,0.1540973931550979,2.5454604625701904,16.746538162231445,77.81752014160156,20.129684448242188,717.510009765625
China,2014,CHN,1387951970.0,5794.4501953125,5783.0400390625,23.51000022888184,159.75999450683594,1059.68994140625,4372.0,0.405733048915863,2.7571208477020264,18.288015365600582,75.45150756835938,22.24939346313477,693.8499755859375
China,2015,CHN,1396134171.0,5814.580078125,5802.14013671875,39.47999954223633,185.58999633789065,1114.52001953125,4249.5400390625,0.6789827942848206,3.1918039321899414,19.16767883300781,73.08421325683594,23.96836853027344,667.8499755859375
